ITEM_NO,CLI_CODE,LE_CODE,SO_REF,SO_DATE,DLVRY_DATE,QTY,PRICE,TOT_VAL,MARGIN_PCT
ART00371,CLI015,LE001,SO5494297,03/03/2024,04/09/2024,31,140.65,4360.15,28.43
ART00275,CLI004,LE001,SO3498989,12/21/2023,01/18/2024,281,92.99,26130.19,34.04
ART00267,CLI034,LE003,SO7550599,10/20/2024,11/27/2024,3,29.46,88.38,49.97
ART00153,CLI043,LE002,SO7074420,02/26/2022,04/12/2022,128,38.95,4985.6,27.03
ART00033,CLI051,LE002,SO8016320,01/23/2024,02/04/2024,460,248.59,114351.4,39.91
ART00481,CLI028,LE002,SO6479720,11/09/2023,12/03/2023,302,406.25,122687.5,45.74
ART00203,CLI025,LE003,SO7860577,03/23/2024,04/02/2024,286,6571.32,1879397.52,48.25
ART00121,CLI005,LE001,SO6000118,02/28/2024,03/03/2024,179,123.62,22127.98,35.37
ART00303,CLI032,LE003,SO4051739,01/13/2023,02/02/2023,138,16.89,2330.82,49.26
ART00531,CLI093,LE001,SO9556533,04/15/2024,04/19/2024,10,3225.63,32256.3,49.9
ART00826,CLI037,LE003,SO9552626,09/16/2021,10/01/2021,196,357.07,69985.72,30.92
ART00817,CLI066,LE001,SO5460795,12/25/2021,12/28/2021,414,2296.51,950755.14,40.11
ART00568,CLI089,LE003,SO9790093,08/23/2024,10/01/2024,1,1830.28,1830.28,26.44
ART00062,CLI062,LE001,SO5257303,07/15/2022,08/26/2022,409,129.31,52887.79,40.96
ART00183,CLI068,LE001,SO6399784,10/19/2024,10/27/2024,355,51.29,18207.95,23.69
ART00442,CLI047,LE001,SO9207840,09/30/2024,10/22/2024,55,2.5,137.5,38.8
ART00044,CLI050,LE003,SO9735238,02/13/2023,03/14/2023,107,469.28,50212.96,42.54
ART00295,CLI041,LE001,SO7219517,12/17/2021,12/25/2021,401,953.28,382265.28,41.31
ART00555,CLI067,LE003,SO2356793,03/13/2024,04/23/2024,394,26.21,10326.74,25.41
ART00938,CLI039,LE003,SO9937189,12/19/2022,12/30/2022,46,271.2,12475.2,44.52
ART00958,CLI064,LE003,SO2449182,04/26/2021,05/14/2021,128,666.54,85317.12,34.4
ART00698,CLI055,LE001,SO6066656,05/22/2021,07/01/2021,43,225.56,9699.08,31.72
ART00891,CLI035,LE003,SO8519177,02/24/2024,03/02/2024,202,1026.92,207437.84,52.58
ART00754,CLI024,LE003,SO7877886,03/27/2021,05/06/2021,244,22.75,5551,31.78
ART00868,CLI015,LE001,SO7600130,05/08/2023,05/20/2023,147,1568.69,230597.43,27.54
ART00309,CLI006,LE002,SO7907459,02/19/2022,02/26/2022,186,5434.63,1010841.18,50.13
ART00652,CLI073,LE003,SO5897877,05/29/2023,06/07/2023,483,577.75,279053.25,22.86
ART00949,CLI011,LE003,SO7664081,07/07/2023,08/21/2023,432,9263.67,4001905.44,42.09
ART00285,CLI054,LE002,SO7691077,10/18/2021,10/30/2021,172,304.81,52427.32,37.38
ART00776,CLI050,LE003,SO7027939,01/11/2022,01/29/2022,496,735.38,364748.48,43.86
ART00766,CLI097,LE001,SO9069731,03/31/2024,05/11/2024,212,381.06,80784.72,49.48
ART00401,CLI066,LE001,SO7763546,09/18/2022,,288,6741.88,1941661.44,37.2
ART00710,CLI044,LE001,SO3935237,11/30/2023,12/09/2023,4,191.31,765.24,25.08
ART00964,CLI019,LE002,SO9911694,01/11/2024,01/27/2024,137,9696.43,1328410.91,43.6
ART00470,CLI046,LE002,SO1860961,07/26/2022,08/16/2022,99,322.01,31878.99,37.55
ART00366,CLI067,LE003,SO2596577,07/29/2021,08/09/2021,322,1006.09,323960.98,41.49
ART00572,CLI086,LE001,SO9629416,07/04/2023,08/16/2023,288,573.97,165303.36,45.49
ART00674,CLI090,LE001,SO1590637,12/27/2021,01/21/2022,284,138.45,39319.8,56.02
ART00387,CLI100,LE001,SO3272954,12/13/2021,12/21/2021,127,80.42,10213.34,49.91
ART00445,CLI084,LE002,SO5571957,06/30/2021,07/29/2021,3,119,357,17.76
ART00078,CLI100,LE001,SO6170331,12/02/2021,12/17/2021,188,6653.91,1250935.08,35.86
ART00582,CLI075,LE001,SO9759660,05/14/2022,05/20/2022,125,19.65,2456.25,40.25
ART00154,CLI013,LE001,SO1940590,10/21/2023,11/18/2023,189,155.99,29482.11,54.72
ART00331,CLI092,LE003,SO4866240,06/17/2023,06/18/2023,112,8.16,913.92,18.63
ART00866,CLI077,LE003,SO7853747,06/16/2024,07/26/2024,235,77.28,18160.8,28.26
ART00988,CLI076,LE001,SO5717230,11/07/2024,12/16/2024,282,124.97,35241.54,25.1
ART00563,CLI092,LE003,SO3248154,01/21/2023,02/15/2023,443,93.68,41500.24,38.46
ART00310,CLI015,LE001,SO8194966,03/14/2023,04/05/2023,278,274.49,76308.22,40.07
ART00607,CLI039,LE003,SO7343857,06/22/2022,07/08/2022,402,247.48,99486.96,37.93
ART00568,CLI001,LE002,SO9346024,01/29/2024,,396,1426.76,564996.96,5.64
ART00647,CLI026,LE002,SO8341187,01/20/2024,01/29/2024,290,4590.67,1331294.3,34.82
ART00528,CLI044,LE001,SO2691740,11/11/2024,12/26/2024,466,36.07,16808.62,49.46
ART00023,CLI098,LE002,SO5778462,12/21/2024,01/02/2025,143,1262.33,180513.19,53.52
ART00724,CLI057,LE002,SO5332662,09/07/2022,,171,1961.56,335426.76,19.89
ART00005,CLI012,LE001,SO6183567,07/31/2022,09/08/2022,271,37.78,10238.38,26.79
ART00016,CLI066,LE001,SO6373734,12/07/2021,12/20/2021,332,435.12,144459.84,38.18
ART00159,CLI054,LE002,SO7665752,07/14/2022,07/25/2022,268,678.17,181749.56,12.89
ART00285,CLI073,LE003,SO9839550,01/17/2024,02/19/2024,350,294.57,103099.5,35.2
ART00423,CLI049,LE003,SO4387512,12/03/2021,12/19/2021,442,30.23,13361.66,19.68
ART00350,CLI032,LE003,SO4667928,09/13/2023,10/23/2023,446,743.74,331708.04,24.42
ART00073,CLI045,LE003,SO9235462,07/26/2024,09/05/2024,474,9.42,4465.08,26.65
ART00856,CLI012,LE001,SO1699151,09/23/2024,09/29/2024,65,153.57,9982.05,18.19
ART00004,CLI046,LE002,SO6752461,06/20/2021,,227,911.31,206867.37,34.57
ART00450,CLI100,LE001,SO7653700,04/01/2023,04/27/2023,257,3.13,804.41,24.6
ART00083,CLI066,LE001,SO7661519,05/26/2023,06/30/2023,284,1757.25,499059,25.01
ART00001,CLI068,LE001,SO7951904,05/05/2023,05/10/2023,343,339.04,116290.72,41.16
ART00406,CLI065,LE003,SO1224542,11/06/2022,12/17/2022,141,97.52,13750.32,15.91
ART00783,CLI078,LE003,SO7605944,05/11/2023,05/14/2023,201,138.97,27932.97,34.31
ART00686,CLI034,LE003,SO3227888,01/22/2023,02/25/2023,417,3403.68,1419334.56,46.58
ART00161,CLI006,LE002,SO2227372,01/14/2022,02/08/2022,106,222.28,23561.68,39.88
ART00292,CLI044,LE001,SO6709729,04/18/2024,05/27/2024,409,41.54,16989.86,37.53
ART00273,CLI077,LE003,SO2947930,05/02/2024,,325,209.14,67970.5,42.6
ART00138,CLI050,LE003,SO4888670,07/10/2022,08/06/2022,45,152.49,6862.05,33.6
ART00640,CLI006,LE002,SO2610826,09/10/2021,10/19/2021,237,38.5,9124.5,23.38
ART00586,CLI008,LE001,SO4892311,09/23/2022,10/15/2022,454,192.29,87299.66,24.99
ART00084,CLI045,LE003,SO3915195,01/04/2023,02/02/2023,171,116.64,19945.44,52.54
ART00295,CLI058,LE003,SO7685187,09/05/2023,09/24/2023,91,805.6,73309.6,30.55
ART00809,CLI008,LE001,SO2828318,03/25/2022,04/13/2022,343,194.21,66614.03,39.3
ART00534,CLI076,LE001,SO2928214,08/23/2024,08/29/2024,476,50.68,24123.68,53.18
ART00365,CLI018,LE003,SO8413188,12/06/2024,12/28/2024,405,4042.85,1637354.25,7.72
ART00450,CLI080,LE001,SO9893027,12/30/2024,01/11/2025,223,3.19,711.37,26.02
ART00153,CLI089,LE003,SO1975442,08/20/2023,09/15/2023,266,40.31,10722.46,29.5
ART00730,CLI069,LE002,SO5057632,06/26/2021,07/15/2021,467,21.1,9853.7,21.8
ART00675,CLI002,LE003,SO3475638,06/15/2023,06/21/2023,89,221.8,19740.2,41.46
ART00939,CLI069,LE002,SO9099872,06/26/2022,07/20/2022,371,44.05,16342.55,5.47
ART00925,CLI010,LE002,SO7014745,11/17/2023,11/28/2023,262,12,3144,44
ART00172,CLI068,LE001,SO1300350,03/24/2023,04/24/2023,70,2738.95,191726.5,47.39
ART00562,CLI016,LE003,SO7234845,12/11/2022,01/07/2023,146,1072.35,156563.1,44.17
ART00461,CLI052,LE001,SO3497389,07/05/2023,08/18/2023,46,61.23,2816.58,43.51
ART00165,CLI045,LE003,SO2736427,10/19/2023,,328,7.67,2515.76,31.16
ART00277,CLI070,LE001,SO4074953,04/20/2023,05/26/2023,294,25.01,7352.94,17.83
ART00784,CLI037,LE003,SO3224989,07/23/2022,08/08/2022,373,14.51,5412.23,24.81
ART00868,CLI081,LE001,SO2195548,12/07/2021,01/05/2022,321,1769.09,567877.89,35.75
ART00264,CLI063,LE001,SO4138313,05/14/2023,05/22/2023,126,67.07,8450.82,49.22
ART00357,CLI054,LE002,SO7790388,11/25/2022,12/13/2022,184,12696.07,2336076.88,47.39
ART00035,CLI077,LE003,SO9105239,11/21/2024,,376,387.16,145572.16,33.47
ART00123,CLI085,LE003,SO6725655,06/08/2021,07/03/2021,105,18.44,1936.2,35.68
ART00882,CLI031,LE001,SO8889890,04/06/2021,,278,137.67,38272.26,44.53
ART00765,CLI057,LE002,SO4048365,07/04/2022,08/03/2022,324,45.92,14878.08,20.32
ART00367,CLI089,LE003,SO9825071,11/20/2024,12/17/2024,353,964.74,340553.22,44.34
ART00205,CLI064,LE003,SO9741616,01/30/2022,,265,11.35,3007.75,29.78
ART00797,CLI088,LE001,SO2240935,07/19/2024,08/02/2024,312,18.68,5828.16,49.89
ART00166,CLI085,LE003,SO9724697,11/30/2022,01/02/2023,453,72.91,33028.23,30.65
ART00508,CLI073,LE003,SO1930134,12/30/2024,01/16/2025,350,140.02,49007,28.46
ART00840,CLI012,LE001,SO9385939,10/15/2023,11/28/2023,153,34.26,5241.78,45.15
ART00271,CLI042,LE003,SO6064235,04/07/2024,04/27/2024,253,665.34,168331.02,19.58
ART00706,CLI048,LE001,SO2253175,06/13/2021,07/02/2021,436,71.79,31300.44,23.51
ART00348,CLI054,LE002,SO7349920,10/24/2021,11/27/2021,217,3034.52,658490.84,48.57
ART00465,CLI046,LE002,SO8659390,01/16/2021,02/08/2021,235,1464.51,344159.85,43.36
ART00711,CLI030,LE003,SO3473141,11/08/2024,11/10/2024,334,14447.59,4825495.06,48.84
ART00709,CLI085,LE003,SO1813284,04/23/2021,05/23/2021,155,37.11,5752.05,50.34
ART00720,CLI093,LE001,SO6538991,06/24/2021,07/15/2021,442,199.61,88227.62,42.53
ART00920,CLI037,LE003,SO7179995,08/14/2022,09/09/2022,266,390.17,103785.22,32.73
ART00380,CLI033,LE001,SO9952736,11/29/2022,01/13/2023,292,209.9,61290.8,42.92
ART00940,CLI004,LE001,SO2896224,08/06/2023,08/18/2023,188,5948.78,1118370.64,39.27
ART00676,CLI065,LE003,SO1858550,09/09/2024,09/14/2024,428,374.57,160315.96,28.3
ART00778,CLI079,LE001,SO4356592,07/07/2024,08/18/2024,350,246.97,86439.5,52.11
ART00498,CLI078,LE003,SO8369217,09/20/2021,11/03/2021,231,167.53,38699.43,50.33
ART00577,CLI052,LE001,SO4128797,12/25/2023,01/05/2024,423,70.78,29939.94,51.95
ART00350,CLI063,LE001,SO9909800,11/26/2021,01/02/2022,468,607.15,284146.2,7.42
ART00088,CLI002,LE003,SO6338294,01/28/2024,02/12/2024,361,94.08,33962.88,39.33
ART00076,CLI091,LE002,SO6996324,10/22/2024,10/23/2024,18,546.35,9834.3,49.3
ART00850,CLI089,LE003,SO8489585,03/19/2022,04/02/2022,275,6.56,1804,27.74
ART00352,CLI034,LE003,SO8679127,10/24/2023,11/20/2023,211,796.42,168044.62,35.98
ART00531,CLI059,LE003,SO2135319,06/09/2021,07/13/2021,384,3230.21,1240400.64,49.97
ART00664,CLI039,LE003,SO3030483,11/24/2021,11/28/2021,262,38.1,9982.2,39.92
ART00294,CLI058,LE003,SO1904701,04/24/2023,05/21/2023,473,281.54,133168.42,51.44
ART00292,CLI030,LE003,SO2487446,01/11/2024,01/15/2024,176,38.2,6723.2,32.07
ART00249,CLI027,LE003,SO7311604,10/25/2022,11/05/2022,361,981.88,354458.68,45.33
ART00516,CLI096,LE003,SO9643232,06/22/2021,07/12/2021,44,257.42,11326.48,27.33
ART00185,CLI008,LE001,SO4041057,02/08/2021,03/20/2021,248,401.32,99527.36,39.86
ART00817,CLI039,LE003,SO1630491,01/06/2021,02/09/2021,444,2516.99,1117543.56,45.36
ART00427,CLI088,LE001,SO8139762,01/02/2023,02/12/2023,130,440.68,57288.4,36.29
ART00215,CLI049,LE003,SO9666965,04/07/2021,05/09/2021,224,42.63,9549.12,48.96
ART00749,CLI047,LE001,SO5215068,06/16/2024,06/20/2024,135,3827.21,516673.35,48.1
ART00399,CLI037,LE003,SO9608081,01/29/2022,02/16/2022,282,792.13,223380.66,36.21
ART00986,CLI009,LE003,SO7442926,10/13/2021,10/27/2021,193,161.99,31264.07,39.92
ART00293,CLI061,LE003,SO5634469,06/29/2021,,122,810.9,98929.8,26.16
ART00375,CLI057,LE002,SO8245448,06/30/2023,07/01/2023,183,10462.25,1914591.75,36.32
ART00734,CLI084,LE002,SO8217693,04/11/2022,04/26/2022,379,242.24,91808.96,33.61
ART00085,CLI058,LE003,SO6060874,04/22/2023,05/29/2023,451,158.83,71632.33,47.82
ART00418,CLI084,LE002,SO6008752,08/03/2021,09/11/2021,21,900.33,18906.93,41.58
ART00801,CLI010,LE002,SO2062324,08/02/2024,09/04/2024,270,7.79,2103.3,42.88
ART00328,CLI014,LE003,SO8155978,01/23/2024,03/05/2024,426,38.99,16609.74,41.63
ART00468,CLI067,LE003,SO9119473,12/04/2024,01/08/2025,98,72.23,7078.54,45.66
ART00120,CLI032,LE003,SO3060661,01/09/2022,02/05/2022,203,24.26,4924.78,41.84
ART00382,CLI082,LE003,SO9554350,06/20/2021,07/10/2021,365,465.95,170071.75,38.77
ART00100,CLI065,LE003,SO7415155,05/09/2022,05/29/2022,32,22.89,732.48,6.73
ART00952,CLI036,LE002,SO1107053,11/02/2023,12/02/2023,322,837.81,269774.82,37.79
ART00293,CLI044,LE001,SO5349286,10/27/2024,12/09/2024,90,705.49,63494.1,15.13
ART00204,CLI062,LE001,SO7819508,04/08/2021,04/23/2021,91,146.18,13302.38,24.67
ART00460,CLI034,LE003,SO5839590,12/20/2023,12/24/2023,232,12.89,2990.48,18.54
ART00710,CLI005,LE001,SO2864299,12/14/2023,01/06/2024,259,213.22,55223.98,32.78
ART00853,CLI021,LE003,SO5538254,10/09/2021,11/13/2021,86,49.88,4289.68,54.47
ART00057,CLI088,LE001,SO5850462,05/11/2021,06/21/2021,462,73.15,33795.3,43.83
ART00051,CLI086,LE001,SO9317187,03/08/2024,03/25/2024,329,794.68,261449.72,24.09
ART00435,CLI005,LE001,SO2703217,10/30/2021,11/24/2021,298,424.78,126584.44,50.04
ART00292,CLI051,LE002,SO1803240,05/26/2023,06/26/2023,304,34.31,10430.24,24.37
ART00171,CLI033,LE001,SO1386872,01/10/2021,,134,441.71,59189.14,7.27
ART00825,CLI027,LE003,SO1768163,10/28/2022,11/27/2022,108,28.06,3030.48,41.55
ART00897,CLI093,LE001,SO8350101,07/10/2021,07/16/2021,468,42.97,20109.96,38.24
ART00616,CLI015,LE001,SO4591547,04/16/2023,04/30/2023,389,268.71,104528.19,29.65
ART00654,CLI003,LE003,SO3422698,12/01/2024,01/10/2025,60,5.95,357,32.44
ART00201,CLI054,LE002,SO5263648,11/22/2022,,236,332.5,78470,18.26
ART00098,CLI022,LE003,SO7678616,12/29/2022,,235,6.07,1426.45,31.96
ART00610,CLI086,LE001,SO1276089,11/30/2024,12/21/2024,359,116.42,41794.78,33.08
ART00343,CLI027,LE003,SO6128141,05/10/2021,05/24/2021,320,28.25,9040,53.35
ART00542,CLI073,LE003,SO4107275,09/12/2024,10/05/2024,242,65.74,15909.08,50.49
ART00308,CLI025,LE003,SO1982721,03/14/2024,04/18/2024,406,259.24,105251.44,46.69
ART00653,CLI087,LE002,SO9665152,04/08/2023,04/24/2023,483,8637.67,4171994.61,40.01
ART00371,CLI022,LE003,SO4195256,07/09/2021,08/13/2021,187,130.06,24321.22,22.6
ART00190,CLI098,LE002,SO2786820,11/28/2023,12/18/2023,40,1250.05,50002,46.11
ART00247,CLI072,LE001,SO9293419,06/27/2023,07/18/2023,248,80.74,20023.52,41.91
ART00205,CLI015,LE001,SO7320613,05/29/2023,06/25/2023,332,9.2,3054.4,13.37
ART00760,CLI009,LE003,SO7606014,12/27/2021,,274,988.28,270788.72,51.05
ART00085,CLI019,LE002,SO3071404,05/25/2022,05/31/2022,93,140.6,13075.8,41.06
ART00321,CLI075,LE001,SO1941979,12/27/2022,,215,37.64,8092.6,31.64
ART00888,CLI074,LE002,SO2004257,06/27/2022,08/09/2022,318,533.22,169563.96,50.37
ART00725,CLI092,LE003,SO6649286,04/12/2024,05/27/2024,231,973.65,224913.15,48.45
ART00514,CLI003,LE003,SO9024784,01/31/2021,02/28/2021,353,7547.87,2664398.11,46.61
ART00787,CLI085,LE003,SO7701128,10/10/2021,10/20/2021,126,10785.66,1358993.16,36.69
ART00261,CLI031,LE001,SO8224462,01/08/2021,01/31/2021,489,38.3,18728.7,36.53
ART00169,CLI045,LE003,SO7285437,12/30/2023,01/20/2024,111,414.21,45977.31,27.87
ART00127,CLI043,LE002,SO5959496,12/25/2022,01/26/2023,332,210.2,69786.4,-0.12
ART00172,CLI042,LE003,SO1297935,10/05/2024,10/11/2024,288,2503.79,721091.52,42.45
ART00529,CLI058,LE003,SO3043860,09/17/2023,09/25/2023,229,515.34,118012.86,16.01
ART00215,CLI051,LE002,SO6438177,05/29/2023,07/10/2023,455,43.57,19824.35,50.06
ART00227,CLI014,LE003,SO2414258,07/09/2023,08/22/2023,463,92.03,42609.89,36.55
ART00437,CLI038,LE001,SO6273694,10/16/2022,10/17/2022,236,458.38,108177.68,39.02
ART00804,CLI038,LE001,SO3049026,10/12/2024,11/08/2024,306,681.94,208673.64,28.44
ART00638,CLI097,LE001,SO1236490,05/07/2024,06/15/2024,425,113.51,48241.75,51.41
ART00833,CLI052,LE001,SO6601176,08/13/2024,08/14/2024,237,640.23,151734.51,52.44
ART00267,CLI026,LE002,SO3871673,12/23/2024,01/06/2025,302,31.31,9455.62,52.92
ART00553,CLI024,LE003,SO8101331,11/29/2024,,417,376.91,157171.47,48.9
ART00287,CLI077,LE003,SO7598237,03/04/2024,03/28/2024,112,792.49,88758.88,11
ART00286,CLI089,LE003,SO1708920,02/19/2023,03/11/2023,96,1231.04,118179.84,43.21
ART00206,CLI014,LE003,SO2819961,04/28/2024,06/06/2024,353,722.31,254975.43,38.88
ART00131,CLI010,LE002,SO3340257,04/29/2023,05/30/2023,326,26.95,8785.7,50.24
ART00264,CLI035,LE003,SO1537273,06/10/2024,06/19/2024,472,58.19,27465.68,41.47
ART00950,CLI051,LE002,SO4248620,10/04/2023,10/26/2023,482,22.65,10917.3,35.32
ART00953,CLI061,LE003,SO3048186,12/06/2022,12/08/2022,271,7861.05,2130344.55,33.35
ART00405,CLI063,LE001,SO3232584,08/08/2023,09/16/2023,354,4057.18,1436241.72,55.42
ART00496,CLI050,LE003,SO7721746,12/21/2023,01/02/2024,263,3077.3,809329.9,40.42
ART00871,CLI057,LE002,SO9671849,10/05/2021,,446,23.83,10628.18,27.65
ART00350,CLI072,LE001,SO3291343,06/22/2024,08/06/2024,416,779.06,324088.96,27.85
ART00787,CLI078,LE003,SO7686611,02/21/2024,03/06/2024,396,10731.43,4249646.28,36.37
ART00981,CLI049,LE003,SO2609929,10/03/2022,10/12/2022,322,70.43,22678.46,29.35
ART00027,CLI018,LE003,SO3286297,05/24/2024,07/06/2024,159,25.78,4099.02,24.75
ART00750,CLI053,LE003,SO6246259,05/11/2022,05/22/2022,8,274.71,2197.68,47.53
ART00709,CLI044,LE001,SO3031870,06/28/2024,08/01/2024,221,35.24,7788.04,47.7
ART00134,CLI003,LE003,SO2491817,03/27/2023,,40,402.17,16086.8,50.99
ART00453,CLI069,LE002,SO6543000,09/18/2023,,334,7908.03,2641282.02,24.1
ART00522,CLI081,LE001,SO7730610,07/16/2023,08/23/2023,188,162.28,30508.64,44.81
ART00244,CLI096,LE003,SO9585833,07/20/2021,08/13/2021,407,44.26,18013.82,25.44
ART00426,CLI028,LE002,SO6255284,08/02/2024,09/09/2024,138,42.5,5865,30.21
ART00193,CLI059,LE003,SO7422062,04/23/2022,04/26/2022,453,253.96,115043.88,44.12
ART00591,CLI094,LE003,SO7848154,05/14/2021,06/14/2021,154,1288.7,198459.8,50.34
ART00932,CLI048,LE001,SO1890868,05/24/2021,06/25/2021,397,349.69,138826.93,52.84
ART00903,CLI082,LE003,SO6133119,12/19/2021,01/24/2022,458,29.63,13570.54,41.34
ART00479,CLI052,LE001,SO8862810,10/18/2024,11/18/2024,281,3.62,1017.22,15.47
ART00406,CLI018,LE003,SO1737531,12/08/2024,12/09/2024,208,125.17,26035.36,34.49
ART00917,CLI073,LE003,SO5487850,11/04/2024,11/05/2024,83,29.18,2421.94,50.21
ART00910,CLI068,LE001,SO4340419,05/18/2021,06/27/2021,454,124.1,56341.4,31.43
ART00642,CLI049,LE003,SO8086062,07/11/2022,08/03/2022,12,487.38,5848.56,45.94
ART00022,CLI080,LE001,SO4416775,11/27/2021,01/04/2022,13,237.4,3086.2,23.51
ART00797,CLI033,LE001,SO7209290,12/29/2023,01/10/2024,92,15.39,1415.88,39.18
ART00037,CLI022,LE003,SO3787791,05/25/2022,06/21/2022,33,1587.6,52390.8,50.23
ART00685,CLI053,LE003,SO3652547,09/07/2021,10/17/2021,43,771.45,33172.35,35.21
ART00152,CLI053,LE003,SO8007100,10/17/2022,11/07/2022,122,54.03,6591.66,21.84
ART00917,CLI001,LE002,SO2666589,04/23/2023,,141,25.98,3663.18,44.07
ART00388,CLI036,LE002,SO7671017,06/29/2024,07/14/2024,239,177.65,42458.35,50.93
ART00251,CLI039,LE003,SO1027210,12/16/2021,01/16/2022,452,965.77,436528.04,44.7
ART00429,CLI080,LE001,SO3805656,07/18/2022,08/01/2022,355,8550.92,3035576.6,49.32
ART00380,CLI060,LE001,SO8658251,02/09/2021,03/25/2021,394,192.54,75860.76,37.77
ART00381,CLI059,LE003,SO3925840,11/14/2022,,244,264.14,64450.16,50.28
ART00062,CLI037,LE003,SO7653915,10/23/2022,,455,116.9,53189.5,34.7
ART00254,CLI051,LE002,SO8785423,04/01/2023,04/24/2023,259,8245.05,2135467.95,9.86
ART00464,CLI076,LE001,SO2025983,06/17/2022,07/27/2022,321,942.09,302410.89,30.22
ART00628,CLI098,LE002,SO4226961,09/16/2024,10/08/2024,177,20.74,3670.98,33.51
ART00647,CLI082,LE003,SO2533339,02/24/2023,03/06/2023,54,5239.1,282911.4,42.89
ART00111,CLI016,LE003,SO2433865,03/31/2022,05/10/2022,40,171.78,6871.2,22.41
ART00097,CLI060,LE001,SO2106572,08/20/2024,08/29/2024,500,2156.46,1078230,19.95
ART00244,CLI068,LE001,SO4227493,09/28/2022,10/23/2022,250,34.96,8740,5.61
ART00059,CLI012,LE001,SO7291986,09/11/2024,09/24/2024,255,265.63,67735.65,28.1
ART00150,CLI070,LE001,SO6235938,05/06/2024,06/06/2024,153,740.78,113339.34,5.31
ART00063,CLI061,LE003,SO6034321,03/23/2022,,264,237.42,62678.88,33.14
ART00507,CLI094,LE003,SO8005138,05/02/2023,05/22/2023,74,740.96,54831.04,29.69
ART00454,CLI019,LE002,SO4362287,06/29/2022,08/12/2022,34,176.09,5987.06,22.39
ART00219,CLI004,LE001,SO5155550,06/11/2021,07/25/2021,364,1272.06,463029.84,38.76
ART01000,CLI084,LE002,SO1837158,02/25/2021,03/03/2021,361,7.98,2880.78,23.68
ART00066,CLI032,LE003,SO6438711,05/16/2024,06/10/2024,250,75.05,18762.5,34.83
ART00071,CLI089,LE003,SO8115079,01/16/2024,,12,12.63,151.56,38.4
ART00634,CLI037,LE003,SO6901748,04/20/2022,04/23/2022,234,8224,1924416,21.57
ART00860,CLI024,LE003,SO3959802,03/25/2024,04/06/2024,385,17.89,6887.65,11.4
ART00964,CLI056,LE001,SO2366709,08/07/2022,09/17/2022,434,11304.54,4906170.36,51.62
ART00046,CLI034,LE003,SO1922051,04/04/2024,04/29/2024,319,36.97,11793.43,28.16
ART00621,CLI015,LE001,SO1395171,04/27/2023,05/16/2023,360,2267.34,816242.4,35.55
ART00071,CLI010,LE002,SO9477656,03/14/2022,04/27/2022,346,15.8,5466.8,50.76
ART00624,CLI027,LE003,SO2419516,04/20/2021,05/23/2021,316,2554.76,807304.16,47.18
ART00002,CLI096,LE003,SO5630945,11/25/2021,12/28/2021,27,703.32,18989.64,48.29
ART00511,CLI075,LE001,SO1438765,08/21/2021,09/24/2021,194,4567.83,886159.02,49.08
ART00280,CLI071,LE002,SO7322744,11/12/2021,11/27/2021,397,38.26,15189.22,17.49
ART00042,CLI021,LE003,SO3333915,03/06/2021,,463,588.52,272484.76,36.03
ART00172,CLI035,LE003,SO8040685,02/21/2024,02/28/2024,203,2769.82,562273.46,47.97
ART00907,CLI051,LE002,SO5766128,05/29/2023,06/11/2023,236,561.62,132542.32,34.92
ART00761,CLI038,LE001,SO8295465,11/18/2024,11/20/2024,8,25.28,202.24,43.71
ART00482,CLI035,LE003,SO3864015,12/15/2024,01/04/2025,125,1188.62,148577.5,50.15
ART00651,CLI095,LE001,SO6986303,01/23/2023,,189,6530.45,1234255.05,21.24
ART00014,CLI044,LE001,SO7949679,01/26/2023,02/04/2023,470,139.11,65381.7,51.77
ART00536,CLI023,LE002,SO7344125,04/10/2021,05/24/2021,279,1267.17,353540.43,24.77
ART00691,CLI055,LE001,SO1343268,10/23/2022,11/18/2022,187,71.97,13458.39,35.17
ART00332,CLI086,LE001,SO6908279,04/04/2024,04/29/2024,341,266.79,90975.39,50.2
ART00495,CLI016,LE003,SO2254566,06/06/2022,07/08/2022,66,108.03,7129.98,33.76
ART00478,CLI087,LE002,SO2278987,04/12/2023,04/15/2023,219,1049.18,229770.42,46.66
ART00165,CLI040,LE003,SO4093566,04/28/2021,06/05/2021,188,8.93,1678.84,40.87
ART00134,CLI084,LE002,SO3151063,12/31/2021,01/25/2022,351,408.81,143492.31,51.78
ART00003,CLI045,LE003,SO8536549,02/27/2024,,136,10113.73,1375467.28,44.07
ART00902,CLI015,LE001,SO1247291,04/14/2024,05/05/2024,313,192.21,60161.73,21.28
ART00481,CLI018,LE003,SO5992941,02/22/2024,03/09/2024,256,420.43,107630.08,47.57
ART00107,CLI086,LE001,SO4190463,06/01/2024,07/11/2024,487,229.81,111917.47,47.66
ART00066,CLI065,LE003,SO4234819,08/18/2024,09/29/2024,285,79.56,22674.6,38.52
ART00836,CLI014,LE003,SO8553078,09/18/2023,10/01/2023,109,1687.8,183970.2,31.54
ART01000,CLI013,LE001,SO2959789,10/11/2022,11/09/2022,14,8.85,123.9,31.19
ART00924,CLI094,LE003,SO1303051,06/18/2021,07/03/2021,199,318.09,63299.91,37.76
ART00732,CLI070,LE001,SO8036693,09/29/2023,11/10/2023,125,873.21,109151.25,42.88
ART00875,CLI019,LE002,SO3736150,09/13/2021,,50,1992.1,99605,9.87
