ITEM_NO,WH_CODE,SUP_CODE,LE_CODE,PO_REF,PO_DATE,RCPT_DATE,QTY,PRICE,TOT_VAL,LEAD_DAYS
ART00786,MAG013,SUP051,LE002,PO8301378,10/06/2021,11/16/2021,958,1219.86,1168625.88,41
ART00046,MAG003,SUP001,LE001,PO2612838,11/08/2021,01/05/2022,359,21.79,7822.61,58
ART00059,MAG006,SUP020,LE001,PO1035557,06/11/2022,,615,188.9,116173.5,
ART00683,MAG010,SUP040,LE002,PO6650868,07/04/2022,07/24/2022,331,2696.49,892538.19,20
ART00469,MAG012,SUP055,LE002,PO2436293,07/20/2021,09/04/2021,1041,228.19,237545.79,46
ART00862,MAG007,SUP059,LE001,PO7090801,01/12/2022,03/01/2022,141,127.19,17933.79,48
ART00608,MAG006,SUP080,LE001,PO8545017,12/13/2022,02/11/2023,506,117.68,59546.08,60
ART00067,MAG007,SUP026,LE001,PO5931901,11/08/2021,12/30/2021,1163,434.43,505242.09,52
ART00415,MAG011,SUP055,LE002,PO4927182,01/10/2021,02/19/2021,1324,165.56,219201.44,40
ART00082,MAG012,SUP055,LE002,PO5510473,05/29/2024,06/08/2024,457,194.13,88717.41,10
ART00795,MAG020,SUP068,LE003,PO3909869,05/14/2024,,788,25.2,19857.6,
ART00110,MAG005,SUP044,LE001,PO4837571,10/29/2022,11/25/2022,1819,169.51,308338.69,27
ART00746,MAG015,SUP031,LE002,PO6664130,11/28/2022,12/10/2022,302,17.78,5369.56,12
ART00411,MAG009,SUP035,LE002,PO2976739,02/22/2024,04/08/2024,1750,471.36,824880,46
ART00792,MAG017,SUP063,LE003,PO5585170,01/10/2022,02/18/2022,152,782.75,118978,39
ART00334,MAG003,SUP060,LE001,PO4539930,03/12/2022,05/09/2022,887,218.12,193472.44,58
ART00019,MAG017,SUP048,LE003,PO9673514,03/21/2024,04/29/2024,1812,20.66,37435.92,39
ART00343,MAG018,SUP058,LE003,PO6629699,03/13/2021,04/26/2021,137,13.1,1794.7,44
ART00424,MAG013,SUP042,LE002,PO5870276,11/18/2023,12/01/2023,203,9.82,1993.46,13
ART00599,MAG005,SUP021,LE001,PO2805819,02/10/2024,03/20/2024,1140,259.09,295362.6,39
ART00691,MAG002,SUP048,LE001,PO5549644,09/27/2021,10/30/2021,740,42.28,31287.2,33
ART00575,MAG003,SUP026,LE001,PO5904436,10/30/2024,11/06/2024,1217,300.36,365538.12,7
ART00187,MAG006,SUP009,LE001,PO3621733,07/28/2022,09/18/2022,716,218.26,156274.16,52
ART00303,MAG011,SUP043,LE002,PO3787881,04/07/2024,05/01/2024,1446,6.99,10107.54,24
ART00269,MAG015,SUP016,LE002,PO3948900,09/06/2024,10/20/2024,779,3927.67,3059654.93,44
ART00979,MAG004,SUP015,LE001,PO7353282,05/21/2023,06/23/2023,1060,315.64,334578.4,33
ART00045,MAG004,SUP010,LE001,PO6028669,10/05/2022,10/28/2022,994,830.19,825208.86,23
ART00998,MAG017,SUP052,LE003,PO1378078,04/09/2023,04/26/2023,1776,1295.72,2301198.72,17
ART00812,MAG002,SUP061,LE001,PO3146378,08/31/2022,09/24/2022,390,1.93,752.7,24
ART00193,MAG003,SUP075,LE001,PO7030583,04/08/2023,04/26/2023,265,158.97,42127.05,18
ART00978,MAG015,SUP067,LE002,PO8450681,09/08/2023,,1351,77.91,105256.41,
ART00546,MAG009,SUP011,LE002,PO8123706,04/08/2021,,1350,44.82,60507,
ART00824,MAG020,SUP073,LE003,PO1655026,11/17/2024,12/02/2024,835,5.85,4884.75,15
ART00223,MAG016,SUP048,LE003,PO8439965,03/19/2021,05/04/2021,1174,655.65,769733.1,46
ART00122,MAG005,SUP009,LE001,PO6318231,12/29/2024,02/09/2025,732,153.19,112135.08,42
ART00143,MAG008,SUP024,LE001,PO3705912,11/03/2021,11/11/2021,1905,87,165735,8
ART00861,MAG007,SUP013,LE001,PO5907289,07/28/2022,09/04/2022,362,140.44,50839.28,38
ART00824,MAG015,SUP062,LE002,PO5044099,10/19/2021,11/29/2021,214,5.62,1202.68,41
ART00462,MAG008,SUP014,LE001,PO3095529,10/21/2023,11/17/2023,444,4758.16,2112623.04,27
ART00155,MAG008,SUP046,LE001,PO9980708,02/15/2021,,103,31.5,3244.5,
ART00141,MAG009,SUP023,LE002,PO6999245,09/09/2022,11/07/2022,495,176.72,87476.4,59
ART00564,MAG011,SUP077,LE002,PO8336968,03/13/2024,05/02/2024,1332,18.68,24881.76,50
ART00263,MAG001,SUP010,LE001,PO5305932,01/10/2023,01/27/2023,27,56.84,1534.68,17
ART00760,MAG019,SUP036,LE003,PO4582488,03/18/2022,,1021,400.38,408787.98,
ART00421,MAG013,SUP043,LE002,PO7497248,11/12/2024,01/04/2025,472,33.3,15717.6,53
ART00570,MAG016,SUP029,LE003,PO4478630,03/13/2022,03/30/2022,606,361.48,219056.88,17
ART00334,MAG006,SUP024,LE001,PO4619828,12/09/2022,02/07/2023,1236,232.84,287790.24,60
ART00216,MAG006,SUP043,LE001,PO6090043,10/03/2022,10/09/2022,833,5488.71,4572095.43,6
ART00358,MAG018,SUP049,LE003,PO8307071,08/12/2021,09/22/2021,1784,8.43,15039.12,41
ART00941,MAG006,SUP068,LE001,PO1492487,06/07/2021,,1920,32.25,61920,
ART00327,MAG002,SUP039,LE001,PO1005032,01/02/2024,01/31/2024,165,73.46,12120.9,29
ART00643,MAG004,SUP003,LE001,PO6755076,11/20/2023,,551,371,204421,
ART00418,MAG012,SUP046,LE002,PO9605541,09/26/2021,11/10/2021,867,519.87,450727.29,45
ART00776,MAG006,SUP026,LE001,PO5025049,11/30/2021,12/27/2021,1828,449.3,821320.4,27
ART00527,MAG008,SUP070,LE001,PO3939672,12/09/2024,12/29/2024,1463,127.25,186166.75,20
ART00454,MAG010,SUP038,LE002,PO4793218,04/26/2024,05/26/2024,929,150.62,139925.98,30
ART00215,MAG002,SUP033,LE001,PO7834685,01/24/2021,02/04/2021,1877,19.89,37333.53,11
ART00482,MAG018,SUP035,LE003,PO3668196,10/14/2021,10/29/2021,1486,643.03,955542.58,15
ART00586,MAG020,SUP068,LE003,PO2687581,01/15/2024,02/03/2024,731,125,91375,19
ART00852,MAG002,SUP062,LE001,PO1237545,09/28/2023,10/26/2023,490,380.15,186273.5,28
ART00256,MAG012,SUP044,LE002,PO6758368,05/16/2024,05/25/2024,1648,161.42,266020.16,9
ART00848,MAG009,SUP035,LE002,PO8843953,04/28/2022,06/20/2022,1745,125.03,218177.35,53
ART00378,MAG020,SUP051,LE003,PO4636190,09/27/2023,10/02/2023,972,275.08,267377.76,5
ART00977,MAG001,SUP049,LE001,PO6354591,06/16/2023,06/27/2023,653,230.03,150209.59,11
ART00200,MAG004,SUP006,LE001,PO6581432,08/05/2022,09/20/2022,715,6769.05,4839870.75,46
ART00019,MAG018,SUP048,LE003,PO5251745,03/12/2022,05/03/2022,1357,22.25,30193.25,52
ART00836,MAG008,SUP056,LE001,PO6696916,06/11/2022,07/21/2022,1235,1191.18,1471107.3,40
ART00734,MAG001,SUP013,LE001,PO1622867,04/03/2024,05/05/2024,24,145.19,3484.56,32
ART00998,MAG011,SUP067,LE002,PO7131340,04/01/2021,05/07/2021,502,1273.26,639176.52,36
ART00761,MAG006,SUP055,LE001,PO9878169,12/20/2024,01/12/2025,309,13.25,4094.25,23
ART00703,MAG017,SUP077,LE003,PO7768053,08/05/2021,09/03/2021,1339,9.23,12358.97,29
ART00211,MAG003,SUP002,LE001,PO1273873,07/22/2021,08/02/2021,1765,21.57,38071.05,11
ART00855,MAG020,SUP028,LE003,PO7102317,02/24/2024,03/30/2024,623,4720.57,2940915.11,35
ART00604,MAG010,SUP077,LE002,PO5569258,11/20/2023,12/27/2023,272,8111.79,2206406.88,37
ART00181,MAG011,SUP073,LE002,PO8260165,12/27/2023,02/09/2024,739,22.22,16420.58,44
ART00650,MAG004,SUP049,LE001,PO6395616,10/11/2021,11/22/2021,150,121.15,18172.5,42
ART00877,MAG013,SUP039,LE002,PO8361987,05/06/2024,06/12/2024,309,137.84,42592.56,37
ART00356,MAG014,SUP027,LE002,PO1165248,11/03/2023,12/04/2023,192,8.68,1666.56,31
ART00731,MAG018,SUP032,LE003,PO5683971,05/09/2023,06/20/2023,1509,673.39,1016145.51,42
ART00223,MAG011,SUP058,LE002,PO4598625,12/26/2023,12/30/2023,163,686.61,111917.43,4
ART00430,MAG008,SUP079,LE001,PO7320515,04/27/2022,06/13/2022,1950,77.81,151729.5,47
ART00129,MAG002,SUP076,LE001,PO2197839,08/25/2024,09/06/2024,994,20.58,20456.52,12
ART00144,MAG009,SUP029,LE002,PO4300743,02/25/2021,03/11/2021,1470,117.81,173180.7,14
ART00375,MAG015,SUP040,LE002,PO6244466,10/07/2022,11/23/2022,308,6504.83,2003487.64,48
ART00004,MAG004,SUP064,LE001,PO9362249,06/04/2023,07/29/2023,788,543.32,428136.16,55
ART00106,MAG018,SUP079,LE003,PO9149968,07/30/2021,09/06/2021,1414,275,388850,38
ART00378,MAG019,SUP022,LE003,PO2835190,09/08/2022,09/13/2022,1410,268.31,378317.1,5
ART00872,MAG010,SUP055,LE002,PO9236760,05/10/2024,06/17/2024,481,150.07,72183.67,38
ART00233,MAG007,SUP018,LE001,PO3339860,08/04/2022,10/02/2022,694,412.48,286261.12,59
ART00776,MAG012,SUP070,LE002,PO7278067,01/24/2023,,957,414.55,396724.35,
ART00310,MAG007,SUP037,LE001,PO5250855,05/16/2024,,463,134.55,62296.65,
ART00214,MAG007,SUP016,LE001,PO9374695,01/15/2024,03/04/2024,999,1038.84,1037801.16,49
ART00254,MAG013,SUP069,LE002,PO4130982,04/04/2024,05/23/2024,114,7614.63,868067.82,49
ART00767,MAG013,SUP054,LE002,PO1996835,10/06/2021,,1971,198.28,390809.88,
ART00250,MAG015,SUP017,LE002,PO9587999,05/09/2024,06/06/2024,1581,156.15,246873.15,28
ART00292,MAG011,SUP076,LE002,PO2269043,10/06/2024,11/23/2024,742,25.33,18794.86,48
ART00573,MAG017,SUP031,LE003,PO1257352,08/05/2021,09/06/2021,109,27.34,2980.06,32
ART00705,MAG011,SUP077,LE002,PO9826498,10/08/2022,10/21/2022,872,63.01,54944.72,13
ART00520,MAG015,SUP057,LE002,PO1863997,04/16/2024,06/04/2024,1168,23.93,27950.24,49
ART00882,MAG006,SUP011,LE001,PO3820679,01/15/2021,03/02/2021,419,64.13,26870.47,46
ART00864,MAG001,SUP011,LE001,PO2566455,11/25/2022,12/24/2022,535,25.84,13824.4,29
ART00447,MAG013,SUP068,LE002,PO4902580,02/24/2021,03/28/2021,452,188.69,85287.88,32
ART00488,MAG010,SUP059,LE002,PO9036224,06/14/2022,07/18/2022,800,157.11,125688,34
ART00870,MAG009,SUP052,LE002,PO8261591,01/20/2024,02/13/2024,967,186.36,180210.12,24
ART00865,MAG007,SUP037,LE001,PO1975657,05/08/2021,06/21/2021,345,34.53,11912.85,44
ART00806,MAG012,SUP036,LE002,PO1048165,09/09/2024,11/02/2024,1355,204.65,277300.75,54
ART00444,MAG004,SUP021,LE001,PO4027451,01/04/2022,,1094,507.17,554843.98,
ART00501,MAG018,SUP074,LE003,PO9758400,01/25/2024,02/23/2024,1071,32.02,34293.42,29
ART00015,MAG002,SUP080,LE001,PO6278853,11/27/2023,12/12/2023,11,656.76,7224.36,15
ART00135,MAG017,SUP043,LE003,PO8408662,12/01/2021,,659,375.57,247500.63,
ART00972,MAG019,SUP063,LE003,PO4813730,08/23/2022,09/05/2022,1699,1711.19,2907311.81,13
ART00249,MAG013,SUP006,LE002,PO6578371,01/15/2022,03/09/2022,1804,566.19,1021406.76,53
ART00573,MAG018,SUP051,LE003,PO4015602,07/13/2023,08/02/2023,75,28.52,2139,20
ART00605,MAG015,SUP050,LE002,PO8649075,04/29/2023,06/07/2023,1563,10.9,17036.7,39
ART00748,MAG019,SUP041,LE003,PO7574789,05/01/2023,,1413,15.92,22494.96,
ART00883,MAG018,SUP026,LE003,PO5817937,07/12/2022,08/02/2022,405,418.41,169456.05,21
ART00210,MAG018,SUP027,LE003,PO2402773,08/14/2022,10/12/2022,1824,28.45,51892.8,59
ART00176,MAG014,SUP026,LE002,PO2713765,12/02/2023,,249,741.5,184633.5,
ART00696,MAG020,SUP027,LE003,PO5906921,06/07/2024,07/16/2024,411,16.68,6855.48,39
ART00412,MAG011,SUP062,LE002,PO1693703,10/17/2023,11/08/2023,1156,45.08,52112.48,22
ART00507,MAG017,SUP068,LE003,PO6328680,09/13/2023,10/21/2023,108,571.76,61750.08,38
ART00754,MAG014,SUP074,LE002,PO5148715,12/14/2022,01/30/2023,1805,16.83,30378.15,47
ART00596,MAG019,SUP051,LE003,PO6098374,01/07/2021,01/12/2021,608,147.96,89959.68,5
ART00361,MAG011,SUP033,LE002,PO8395973,03/15/2021,03/30/2021,1426,22.32,31828.32,15
ART00747,MAG015,SUP006,LE002,PO2409727,05/22/2023,,228,4.42,1007.76,
ART00579,MAG010,SUP036,LE002,PO2986299,12/08/2024,,1344,486.8,654259.2,
ART00128,MAG012,SUP072,LE002,PO2467241,06/01/2023,07/30/2023,162,972.7,157577.4,59
ART00027,MAG020,SUP045,LE003,PO3504758,11/10/2023,11/21/2023,798,15.7,12528.6,11
ART00908,MAG014,SUP032,LE002,PO2109547,07/26/2021,,1023,166.45,170278.35,
ART00703,MAG004,SUP074,LE001,PO5192546,11/29/2021,01/20/2022,179,8.1,1449.9,52
ART00547,MAG014,SUP012,LE002,PO2761855,01/17/2021,03/06/2021,73,331.5,24199.5,48
ART00277,MAG003,SUP043,LE001,PO6968294,06/23/2024,07/10/2024,1340,17.77,23811.8,17
ART00017,MAG019,SUP060,LE003,PO8920641,11/03/2021,11/20/2021,34,27.97,950.98,17
ART00060,MAG015,SUP072,LE002,PO2676904,12/05/2024,12/13/2024,1167,851.33,993502.11,8
ART00191,MAG010,SUP012,LE002,PO4623673,07/02/2021,07/23/2021,925,543.23,502487.75,21
ART00846,MAG006,SUP052,LE001,PO7644058,07/13/2022,,1009,239.3,241453.7,
ART00876,MAG016,SUP038,LE003,PO8608523,03/26/2023,03/29/2023,794,325.85,258724.9,3
ART00727,MAG006,SUP038,LE001,PO9864508,11/02/2024,12/01/2024,1178,21.8,25680.4,29
ART00629,MAG016,SUP039,LE003,PO4112673,11/02/2024,12/01/2024,1755,5442.03,9550762.65,29
ART00272,MAG003,SUP039,LE001,PO7402285,08/10/2024,09/14/2024,161,11.13,1791.93,35
ART00037,MAG014,SUP006,LE002,PO9518355,02/13/2023,04/03/2023,274,881.09,241418.66,49
ART00303,MAG006,SUP033,LE001,PO7830944,04/12/2022,05/13/2022,659,9.19,6056.21,31
ART00335,MAG005,SUP033,LE001,PO9295238,03/11/2021,03/26/2021,1036,17.46,18088.56,15
ART00437,MAG015,SUP049,LE002,PO2791978,01/31/2022,03/24/2022,1195,265.52,317296.4,52
ART00358,MAG007,SUP056,LE001,PO6944093,06/10/2023,08/04/2023,411,7.73,3177.03,55
ART00707,MAG012,SUP059,LE002,PO4999515,12/05/2022,01/28/2023,348,302.03,105106.44,54
ART00354,MAG019,SUP044,LE003,PO4894555,07/16/2023,08/10/2023,1784,208.28,371571.52,25
ART00334,MAG015,SUP036,LE002,PO3269432,12/18/2021,12/31/2021,1336,188.06,251248.16,13
ART00800,MAG017,SUP041,LE003,PO6560123,02/19/2024,02/25/2024,1801,23.31,41981.31,6
ART00681,MAG017,SUP045,LE003,PO8401009,01/14/2022,01/22/2022,1104,23.87,26352.48,8
ART00388,MAG015,SUP025,LE002,PO3003497,10/26/2023,,814,70.43,57330.02,
ART00837,MAG017,SUP044,LE003,PO4989243,01/14/2023,02/15/2023,516,179.31,92523.96,32
ART00583,MAG020,SUP061,LE003,PO7915405,11/02/2023,12/19/2023,1501,442.5,664192.5,47
ART00001,MAG015,SUP020,LE002,PO4495959,03/02/2022,03/08/2022,875,190.85,166993.75,6
ART00734,MAG017,SUP023,LE003,PO8860020,03/23/2024,04/11/2024,82,150,12300,19
ART00926,MAG019,SUP013,LE003,PO1157826,04/07/2021,05/26/2021,393,83.94,32988.42,49
ART00352,MAG012,SUP065,LE002,PO1990112,10/28/2023,11/03/2023,938,431.86,405084.68,6
ART00372,MAG006,SUP068,LE001,PO3559416,03/12/2024,03/16/2024,762,439.78,335112.36,4
ART00028,MAG006,SUP022,LE001,PO9685049,10/18/2023,,187,3.22,602.14,
ART00902,MAG014,SUP008,LE002,PO1949431,05/23/2024,07/01/2024,505,129.94,65619.7,39
ART00331,MAG016,SUP071,LE003,PO9814772,03/18/2023,05/13/2023,1969,6.12,12050.28,56
ART00670,MAG010,SUP077,LE002,PO3628209,08/05/2023,08/27/2023,241,1035.29,249504.89,22
ART00812,MAG015,SUP019,LE002,PO4582874,03/17/2024,04/17/2024,1982,2.05,4063.1,31
ART00746,MAG017,SUP074,LE003,PO9984657,11/09/2023,12/20/2023,1531,19.23,29441.13,41
ART00834,MAG011,SUP049,LE002,PO9151906,05/22/2021,06/07/2021,1068,223.82,239039.76,16
ART00976,MAG015,SUP058,LE002,PO9010711,11/29/2023,12/19/2023,1482,31.54,46742.28,20
ART00557,MAG003,SUP006,LE001,PO3504034,11/15/2022,12/30/2022,322,264.94,85310.68,45
ART00152,MAG003,SUP039,LE001,PO5371469,11/23/2023,12/23/2023,1697,36.03,61142.91,30
ART00030,MAG001,SUP037,LE001,PO1240171,09/25/2023,10/12/2023,1606,21.04,33790.24,17
ART00721,MAG007,SUP027,LE001,PO4359108,07/21/2023,08/08/2023,826,19.58,16173.08,18
ART00196,MAG010,SUP009,LE002,PO4270713,03/29/2021,04/23/2021,1892,1922.82,3637975.44,25
ART00269,MAG006,SUP054,LE001,PO3308716,12/12/2023,12/27/2023,282,3328.41,938611.62,15
ART00326,MAG007,SUP076,LE001,PO1601000,07/19/2022,08/31/2022,295,7669.95,2262635.25,43
ART00513,MAG004,SUP053,LE001,PO1304163,10/08/2023,11/10/2023,1342,15.7,21069.4,33
ART00204,MAG013,SUP039,LE002,PO1664629,05/16/2024,07/02/2024,1245,100.66,125321.7,47
ART00001,MAG006,SUP049,LE001,PO4252140,04/11/2022,05/12/2022,264,207.15,54687.6,31
ART00662,MAG019,SUP049,LE003,PO8907743,03/29/2021,04/26/2021,1720,204.37,351516.4,28
ART00628,MAG011,SUP031,LE002,PO4652480,12/07/2021,01/06/2022,554,12.46,6902.84,30
ART00039,MAG005,SUP026,LE001,PO1577423,10/12/2023,11/19/2023,876,383.18,335665.68,38
ART00316,MAG015,SUP004,LE002,PO7642898,11/07/2024,,101,45.67,4612.67,
ART00256,MAG010,SUP070,LE002,PO5917305,10/16/2021,11/22/2021,1041,129.96,135288.36,37
ART00545,MAG012,SUP020,LE002,PO6146270,01/12/2022,02/27/2022,1259,39.56,49806.04,46
ART00707,MAG014,SUP059,LE002,PO4223551,06/18/2023,08/03/2023,1475,255.44,376774,46
ART00514,MAG017,SUP010,LE003,PO8198574,07/02/2023,07/15/2023,613,4301.13,2636592.69,13
ART00894,MAG011,SUP054,LE002,PO1464292,06/11/2023,,766,2328.31,1783485.46,
ART00127,MAG012,SUP062,LE002,PO5785621,06/07/2022,07/05/2022,1497,218.94,327753.18,28
ART00762,MAG005,SUP048,LE001,PO1415676,04/03/2021,05/01/2021,298,62.58,18648.84,28
ART00768,MAG019,SUP036,LE003,PO1766698,04/05/2023,05/31/2023,1013,137.48,139267.24,56
ART00255,MAG006,SUP077,LE001,PO5517645,08/19/2024,09/09/2024,1692,10.18,17224.56,21
ART00634,MAG006,SUP016,LE001,PO6713256,11/18/2024,,1623,7154.79,11612224.17,
ART00957,MAG018,SUP013,LE003,PO5902556,05/19/2021,05/30/2021,1635,150.53,246116.55,11
ART00928,MAG001,SUP036,LE001,PO9740756,01/11/2023,03/05/2023,43,444.15,19098.45,53
ART00397,MAG010,SUP070,LE002,PO9299787,03/17/2024,04/08/2024,1958,399.01,781261.58,22
ART00561,MAG008,SUP064,LE001,PO1661806,10/14/2024,10/31/2024,520,255,132600,17
ART00304,MAG015,SUP039,LE002,PO4769436,04/14/2022,04/19/2022,1448,266.63,386080.24,5
ART00488,MAG001,SUP008,LE001,PO5038712,06/16/2021,08/11/2021,240,182.36,43766.4,56
ART00250,MAG010,SUP074,LE002,PO6468258,11/09/2021,01/06/2022,216,129.65,28004.4,58
ART00661,MAG003,SUP036,LE001,PO4963570,09/10/2022,,922,29.92,27586.24,
ART00553,MAG001,SUP055,LE001,PO7900939,09/12/2023,11/09/2023,90,184.72,16624.8,58
ART00284,MAG009,SUP070,LE002,PO9644020,01/22/2024,,1342,259.85,348718.7,
ART00444,MAG019,SUP064,LE003,PO1359861,10/20/2021,11/20/2021,918,519.91,477277.38,31
ART00748,MAG015,SUP045,LE002,PO4122786,01/19/2021,02/22/2021,1884,20.9,39375.6,34
ART00005,MAG014,SUP076,LE002,PO2506456,12/15/2024,,1170,27.16,31777.2,
ART00902,MAG019,SUP009,LE003,PO3709139,08/11/2023,10/08/2023,806,152.44,122866.64,58
ART00573,MAG003,SUP011,LE001,PO4297297,10/04/2023,,1770,29.54,52285.8,
ART00572,MAG003,SUP019,LE001,PO1950391,03/29/2022,,361,258.03,93148.83,
ART00497,MAG005,SUP036,LE001,PO2708035,07/30/2022,08/06/2022,558,488.81,272755.98,7
ART00837,MAG019,SUP049,LE003,PO6221553,10/09/2021,11/14/2021,1439,175.51,252558.89,36
ART00424,MAG003,SUP080,LE001,PO4958311,02/12/2021,02/16/2021,1267,9.56,12112.52,4
ART00863,MAG012,SUP074,LE002,PO5261289,10/24/2023,11/07/2023,1896,27.59,52310.64,14
ART00782,MAG014,SUP077,LE002,PO5190775,01/24/2023,03/17/2023,1474,5168.67,7618619.58,52
ART00741,MAG012,SUP045,LE002,PO3232280,12/26/2023,01/12/2024,186,13.43,2497.98,17
ART00930,MAG013,SUP019,LE002,PO4807328,05/28/2022,06/11/2022,364,544.04,198030.56,14
ART00051,MAG011,SUP010,LE002,PO5134120,12/30/2022,01/04/2023,490,577.28,282867.2,5
ART00267,MAG011,SUP030,LE002,PO3915716,12/31/2022,02/08/2023,1749,14.69,25692.81,39
ART00572,MAG004,SUP066,LE001,PO2646893,08/04/2023,09/18/2023,8,262.49,2099.92,45
ART00390,MAG011,SUP046,LE002,PO9589598,12/16/2023,,283,36.56,10346.48,
ART00996,MAG006,SUP052,LE001,PO2733520,06/20/2022,07/05/2022,1514,158.08,239333.12,15
ART00164,MAG013,SUP079,LE002,PO9895225,05/08/2024,06/28/2024,1174,19.95,23421.3,51
ART00855,MAG008,SUP040,LE001,PO8579034,03/22/2023,04/05/2023,909,4890.51,4445473.59,14
ART00597,MAG002,SUP050,LE001,PO8887833,11/20/2021,01/12/2022,443,125.9,55773.7,53
ART00733,MAG002,SUP004,LE001,PO8694889,05/08/2021,06/20/2021,1831,12.69,23235.39,43
ART00171,MAG013,SUP051,LE002,PO4030894,01/16/2021,02/02/2021,990,404.5,400455,17
ART00342,MAG018,SUP062,LE003,PO5266430,06/05/2021,07/23/2021,93,202.1,18795.3,48
ART00788,MAG007,SUP052,LE001,PO5741348,04/07/2023,05/06/2023,503,184.39,92748.17,29
ART00751,MAG019,SUP034,LE003,PO7071658,06/20/2023,07/23/2023,981,370.45,363411.45,33
ART00258,MAG014,SUP048,LE002,PO3013925,10/10/2024,11/30/2024,1505,24.78,37293.9,51
ART00936,MAG010,SUP009,LE002,PO4549406,07/25/2024,,1202,1629.16,1958250.32,
ART00364,MAG011,SUP009,LE002,PO6327704,07/25/2024,08/08/2024,543,178.95,97169.85,14
ART00111,MAG012,SUP038,LE002,PO9845053,11/13/2022,,1509,152.17,229624.53,
ART00283,MAG001,SUP027,LE001,PO4288022,02/07/2022,,1832,15.69,28744.08,
ART00657,MAG001,SUP063,LE001,PO3911905,12/06/2023,01/03/2024,749,29.09,21788.41,28
ART00751,MAG011,SUP005,LE002,PO5706849,05/17/2021,05/22/2021,1360,379.66,516337.6,5
ART00406,MAG013,SUP075,LE002,PO3996361,07/23/2022,09/07/2022,446,82.03,36585.38,46
ART00101,MAG020,SUP004,LE003,PO8074782,10/01/2022,10/23/2022,1751,53.21,93170.71,22
ART00814,MAG018,SUP053,LE003,PO8085000,02/17/2022,03/19/2022,1602,2.98,4773.96,30
ART00664,MAG011,SUP031,LE002,PO5627753,04/26/2021,05/01/2021,902,21.6,19483.2,5
ART00860,MAG018,SUP027,LE003,PO7141696,07/16/2022,08/26/2022,1858,18.01,33462.58,41
ART00027,MAG012,SUP002,LE002,PO8461588,03/04/2023,04/11/2023,1697,21.19,35959.43,38
ART00609,MAG010,SUP029,LE002,PO6212911,09/25/2024,10/04/2024,1657,20.26,33570.82,9
ART00009,MAG011,SUP064,LE002,PO1397555,04/07/2024,04/12/2024,808,211.88,171199.04,5
ART00490,MAG001,SUP076,LE001,PO6729264,01/14/2021,01/20/2021,593,2.49,1476.57,6
ART00398,MAG011,SUP065,LE002,PO7551995,05/23/2021,06/30/2021,875,466.44,408135,38
ART00484,MAG003,SUP052,LE001,PO3581522,02/22/2021,04/13/2021,1587,190.63,302529.81,50
ART00573,MAG003,SUP054,LE001,PO9813200,10/15/2021,12/04/2021,1090,25.13,27391.7,50
ART00703,MAG010,SUP015,LE002,PO7799128,01/12/2021,03/01/2021,1067,8.88,9474.96,48
ART00992,MAG005,SUP018,LE001,PO7678624,01/21/2023,01/25/2023,1490,260.74,388502.6,4
ART00266,MAG017,SUP019,LE003,PO8909393,09/21/2022,11/02/2022,1749,450.56,788029.44,43
ART00197,MAG003,SUP053,LE001,PO3155582,10/28/2023,,936,19.18,17952.48,
ART00762,MAG005,SUP024,LE001,PO9305476,01/01/2022,01/05/2022,1263,62.71,79202.73,4
ART00589,MAG017,SUP010,LE003,PO8678550,10/10/2022,10/17/2022,1129,756.3,853862.7,7
ART00669,MAG004,SUP066,LE001,PO4201280,03/10/2022,04/09/2022,201,1597.45,321087.45,30
ART00977,MAG010,SUP016,LE002,PO1246183,08/23/2024,10/04/2024,1628,307.69,500919.32,42
ART00557,MAG014,SUP020,LE002,PO8001385,12/09/2024,01/15/2025,1787,213.16,380916.92,37
ART00607,MAG003,SUP003,LE001,PO1231196,08/30/2024,09/25/2024,1226,170.92,209547.92,26
ART00758,MAG004,SUP037,LE001,PO5164147,04/01/2022,05/03/2022,1833,18.41,33745.53,32
ART00312,MAG002,SUP060,LE001,PO6566213,01/22/2024,03/09/2024,1604,291.83,468095.32,47
ART00482,MAG012,SUP005,LE002,PO2886085,08/10/2022,08/31/2022,88,631.22,55547.36,21
ART00326,MAG020,SUP047,LE003,PO1258722,03/10/2022,04/12/2022,1695,7952.32,13479182.4,33
ART00726,MAG004,SUP022,LE001,PO5185683,06/21/2021,08/18/2021,670,29.45,19731.5,58
ART00538,MAG016,SUP069,LE003,PO7438253,10/30/2023,12/27/2023,1623,3204.1,5200254.3,58
ART00379,MAG020,SUP033,LE003,PO9214729,01/13/2023,02/03/2023,1772,22.13,39214.36,21
ART00172,MAG006,SUP056,LE001,PO8388914,03/22/2021,05/03/2021,1657,1545.18,2560363.26,42
ART00213,MAG002,SUP033,LE001,PO9875320,06/03/2021,07/30/2021,1222,28.28,34558.16,57
ART00657,MAG006,SUP008,LE001,PO4270393,05/24/2023,06/22/2023,73,30.79,2247.67,29
ART00615,MAG011,SUP042,LE002,PO1070655,04/19/2022,05/27/2022,1092,90.08,98367.36,38
ART00925,MAG007,SUP057,LE001,PO5480576,05/15/2022,06/17/2022,309,6.23,1925.07,33
ART00198,MAG007,SUP036,LE001,PO9167743,01/19/2023,03/08/2023,1042,208.66,217423.72,48
ART00725,MAG003,SUP056,LE001,PO4862875,10/17/2022,11/13/2022,384,434.7,166924.8,27
